Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
D1,06/08/2004,Werder Bremen,Schalke 04,H,1.9,3.25,3.5,2.0,3.25,3.4,2.2,3.0,2.9,2.0,3.3,3.1,2004/5,€98.48m,€86.33m
D1,07/08/2004,Dortmund,Wolfsburg,A,1.57,3.4,5.5,1.55,3.7,5.4,1.65,3.3,4.4,1.61,3.5,4.5,2004/5,€78.33m,€59.30m
D1,07/08/2004,Freiburg,Hansa Rostock,D,2.1,3.25,3.0,2.0,3.25,3.4,2.1,3.0,3.1,2.0,3.3,3.1,2004/5,€22.43m,€25.90m
D1,07/08/2004,Hamburg,Bayern Munich,A,3.25,3.25,2.0,3.75,3.4,1.85,3.6,3.2,1.9,3.1,3.3,2.0,2004/5,€65.60m,€175.30m
D1,07/08/2004,Hertha,Bochum,D,1.83,3.25,3.75,1.7,3.5,4.4,1.75,3.2,4.0,1.8,3.3,3.75,2004/5,€71.78m,€31.40m
D1,07/08/2004,Kaiserslautern,Nurnberg,A,1.72,3.25,4.33,1.75,3.4,4.2,1.85,3.1,3.6,1.8,3.3,3.75,2004/5,€33.75m,€34.90m
D1,07/08/2004,Leverkusen,Hannover,H,1.5,3.5,6.0,1.45,4.0,6.2,1.55,3.5,4.8,1.44,3.75,6.0,2004/5,€86.93m,€42.98m
D1,08/08/2004,Bielefeld,M'gladbach,D,2.25,3.25,2.75,2.4,3.3,2.6,2.3,3.0,2.7,2.2,3.25,2.75,2004/5,€24.65m,€50.93m
D1,08/08/2004,Stuttgart,Mainz,H,1.4,3.75,7.5,1.4,4.2,6.7,1.5,3.7,5.0,1.44,3.75,6.0,2004/5,€79.50m,€16.73m
D1,14/08/2004,Bayern Munich,Hertha,D,1.4,4.0,9.0,1.3,4.7,8.2,1.4,3.9,6.0,1.36,4.0,7.0,2004/5,€175.30m,€71.78m
D1,14/08/2004,Hansa Rostock,Werder Bremen,A,2.8,3.25,2.2,3.4,3.25,2.0,2.9,3.0,2.2,2.9,3.2,2.15,2004/5,€25.90m,€98.48m
D1,14/08/2004,Mainz,Hamburg,H,2.6,3.2,2.4,2.5,3.3,2.5,2.5,3.0,2.5,2.5,3.25,2.4,2004/5,€16.73m,€65.60m
D1,14/08/2004,M'gladbach,Dortmund,A,2.5,3.2,2.5,2.5,3.3,2.5,2.3,3.0,2.7,2.4,3.1,2.6,2004/5,€50.93m,€78.33m
D1,14/08/2004,Nurnberg,Stuttgart,D,2.8,3.25,2.2,3.2,3.3,2.05,2.9,3.0,2.2,2.62,3.2,2.3,2004/5,€34.90m,€79.50m
D1,14/08/2004,Schalke 04,Kaiserslautern,H,1.53,3.5,5.5,1.5,3.7,6.0,1.5,3.7,5.0,1.5,3.4,6.0,2004/5,€86.33m,€33.75m
