<<<<<<< HEAD
Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
B1,26/07/2019,Genk,Kortrijk,H,1.36,4.75,8.5,1.4,5.0,8.0,2019/20,€113.53m,€19.90m,1.4,5.22,7.44,1.45,4.94,6.79,1.45,4.75,6.5,1.38,0.019999999999999907,0.9998484829291058,0.01449275362318834,0.007246376811594013,0.5001050199537911,4.875,0.125,0.9995256892936492,0.02564102564102564,0.012820512820512775,0.5003287310979618,8.25,0.25,0.9993375041688846,0.030303030303030304,0.015151515151515138,0.5004591368227732
B1,27/07/2019,Cercle Brugge,Standard,A,3.75,3.75,1.85,3.8,3.75,1.95,2019/20,€31.93m,€76.68m,3.91,3.63,1.99,3.79,3.74,1.99,3.75,3.8,1.85,3.775,0.02499999999999991,0.9999683631071745,0.006622516556291367,0.0033112582781456013,0.5000219288627692,3.75,0.0,1.0,0.0,0.0,0.5,1.9,0.04999999999999993,0.9995003941817587,0.026315789473684178,0.013157894736842035,0.5003462603878116
B1,27/07/2019,St Truiden,Mouscron,A,1.9,3.75,3.75,1.95,3.5,4.1,2019/20,€26.75m,€26.15m,1.99,3.52,4.04,2.16,3.55,3.46,2.0,3.5,3.6,1.9249999999999998,0.025000000000000022,0.9998783322990061,0.012987012987013,0.006493506493506329,0.5000843312531624,3.625,0.125,0.9991421039919088,0.034482758620689655,0.01724137931034475,0.5005945303210463,3.925,0.17499999999999982,0.9985655503828758,0.04458598726114645,0.022292993630573132,0.5009939551300255
B1,27/07/2019,Waregem,Mechelen,A,2.15,3.6,3.1,2.2,3.75,3.1,2019/20,€30.08m,€23.63m,2.23,3.76,3.12,2.8,3.59,2.51,2.8,3.4,2.5,2.175,0.025000000000000133,0.9999046950184836,0.01149425287356328,0.005747126436781436,0.5000660589245607,3.675,0.07499999999999996,0.9996995428565172,0.02040816326530611,0.010204081632653184,0.5002082465639317,3.1,0.0,1.0,0.0,0.0,0.5
B1,27/07/2019,Waasland-Beveren,Club Brugge,A,6.5,4.0,1.5,6.0,4.5,1.53,2019/20,€14.93m,€160.73m,5.52,4.59,1.56,8.99,6.52,1.29,12.0,5.75,1.25,6.25,0.25,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001,4.25,0.25,0.9975025463691153,0.058823529411764705,0.02941176470588225,0.5017301038062284,1.5150000000000001,0.015000000000000013,0.9999292854321659,0.00990099009900991,0.004950495049504955,0.5000490148024703
B1,28/07/2019,Anderlecht,Oostende,A,1.36,4.5,9.0,1.36,5.0,9.25,2019/20,€137.28m,€23.85m,1.36,5.09,8.96,1.41,4.88,7.96,1.4,4.75,7.0,1.36,0.0,1.0,0.0,0.0,0.5,4.75,0.25,0.9980008838722995,0.05263157894736842,0.026315789473684292,0.5013850415512465,9.125,0.125,0.9998646331239297,0.0136986301369863,0.006849315068493178,0.500093826233815
B1,28/07/2019,Charleroi,Gent,D,3.1,3.25,2.3,3.0,3.5,2.35,2019/20,€31.65m,€95.10m,3.03,3.55,2.36,2.92,3.66,2.38,3.1,3.3,2.25,3.05,0.050000000000000044,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516,3.375,0.125,0.9990102708804813,0.037037037037037035,0.0185185185185186,0.5006858710562414,2.325,0.025000000000000133,0.9999165959739288,0.010752688172043067,0.005376344086021501,0.5000578101514626
B1,28/07/2019,Eupen,Antwerp,A,3.8,3.3,1.95,3.8,3.6,2.0,2019/20,€26.05m,€49.98m,3.74,3.69,2.02,3.48,3.41,2.2,3.5,3.25,2.1,3.8,0.0,1.0,0.0,2.220446049250313e-16,0.5,3.45,0.15000000000000013,0.9986359641585719,0.04347826086956525,0.021739130434782705,0.5009451795841209,1.975,0.025000000000000022,0.9998844148717587,0.012658227848101276,0.006329113924050667,0.5000801153661273
B1,02/08/2019,Club Brugge,St Truiden,H,1.25,5.5,12.0,1.26,6.25,11.0,2019/20,€160.73m,€26.75m,1.25,6.39,11.45,1.21,7.03,14.05,1.2,7.0,12.0,1.255,0.0050000000000000044,0.9999885501908105,0.003984063745019925,0.0019920318725099584,0.5000079363819621,5.875,0.375,0.9970590569034107,0.06382978723404255,0.03191489361702127,0.5020371208691715,11.5,0.5,0.9986359641585719,0.043478260869565216,0.021739130434782705,0.5009451795841209
B1,03/08/2019,Standard,Waregem,H,1.53,4.33,5.5,1.5,4.6,6.25,2019/20,€76.68m,€30.08m,1.49,4.89,6.07,1.4,5.63,6.8,1.33,5.25,8.0,1.5150000000000001,0.015000000000000013,0.9999292854321659,0.00990099009900991,0.004950495049504955,0.5000490148024703,4.465,0.1349999999999998,0.999340468804219,0.03023516237402011,0.01511758118701012,0.5004570825218917,5.875,0.375,0.9970590569034107,0.06382978723404255,0.03191489361702127,0.5020371208691715
