Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
D1,06/08/2004,Werder Bremen,Schalke 04,H,1.9,3.25,3.5,2.0,3.25,3.4,2.2,3.0,2.9,2.0,3.3,3.1,2004/5,€98.48m,€86.33m,52.6316,50.0,50.0,45.4545,30.7692,30.7692,30.303,33.3333,28.5714,29.4118,32.2581,34.4828,H,49.5215,2.9817,31.2937,1.3774,31.181,2.7081,Bundesliga1
D1,07/08/2004,Dortmund,Wolfsburg,A,1.57,3.4,5.5,1.55,3.7,5.4,1.65,3.3,4.4,1.61,3.5,4.5,2004/5,€78.33m,€59.30m,63.6943,64.5161,62.1118,60.6061,29.4118,27.027,28.5714,30.303,18.1818,18.5185,22.2222,22.7273,H,62.7321,1.7333,28.8283,1.3935,20.4124,2.3942,Bundesliga1
D1,07/08/2004,Freiburg,Hansa Rostock,D,2.1,3.25,3.0,2.0,3.25,3.4,2.1,3.0,3.1,2.0,3.3,3.1,2004/5,€22.43m,€25.90m,47.619,50.0,50.0,47.619,30.7692,30.7692,30.303,33.3333,33.3333,29.4118,32.2581,32.2581,H,48.8095,1.3747,31.2937,1.3774,31.8153,1.6806,Bundesliga1
D1,07/08/2004,Hamburg,Bayern Munich,A,3.25,3.25,2.0,3.75,3.4,1.85,3.6,3.2,1.9,3.1,3.3,2.0,2004/5,€65.60m,€175.30m,30.7692,26.6667,32.2581,27.7778,30.7692,29.4118,30.303,31.25,50.0,54.0541,50.0,52.6316,A,29.368,2.5911,30.4335,0.7832,51.6714,2.0155,Bundesliga1
D1,07/08/2004,Hertha,Bochum,D,1.83,3.25,3.75,1.7,3.5,4.4,1.75,3.2,4.0,1.8,3.3,3.75,2004/5,€71.78m,€31.40m,54.6448,58.8235,55.5556,57.1429,30.7692,28.5714,30.303,31.25,26.6667,22.7273,26.6667,25.0,H,56.5417,1.8384,30.2234,1.1672,25.2652,1.8654,Bundesliga1
D1,07/08/2004,Kaiserslautern,Nurnberg,A,1.72,3.25,4.33,1.75,3.4,4.2,1.85,3.1,3.6,1.8,3.3,3.75,2004/5,€33.75m,€34.90m,58.1395,57.1429,55.5556,54.0541,30.7692,29.4118,30.303,32.2581,23.0947,23.8095,26.6667,27.7778,H,56.223,1.7952,30.6855,1.1901,25.3372,2.2425,Bundesliga1
D1,07/08/2004,Leverkusen,Hannover,H,1.5,3.5,6.0,1.45,4.0,6.2,1.55,3.5,4.8,1.44,3.75,6.0,2004/5,€86.93m,€42.98m,66.6667,68.9655,69.4444,64.5161,28.5714,25.0,26.6667,28.5714,16.6667,16.129,16.6667,20.8333,H,67.3982,2.2719,27.2024,1.721,17.5739,2.1877,Bundesliga1
D1,08/08/2004,Bielefeld,M'gladbach,D,2.25,3.25,2.75,2.4,3.3,2.6,2.3,3.0,2.7,2.2,3.25,2.75,2004/5,€24.65m,€50.93m,44.4444,41.6667,45.4545,43.4783,30.7692,30.303,30.7692,33.3333,36.3636,38.4615,36.3636,37.037,H,43.761,1.6126,31.2937,1.3774,37.0564,0.989,Bundesliga1
D1,08/08/2004,Stuttgart,Mainz,H,1.4,3.75,7.5,1.4,4.2,6.7,1.5,3.7,5.0,1.44,3.75,6.0,2004/5,€79.50m,€16.73m,71.4286,71.4286,69.4444,66.6667,26.6667,23.8095,26.6667,27.027,13.3333,14.9254,16.6667,20.0,H,69.7421,2.2535,26.0425,1.4983,16.2314,2.8575,Bundesliga1
D1,14/08/2004,Bayern Munich,Hertha,D,1.4,4.0,9.0,1.3,4.7,8.2,1.4,3.9,6.0,1.36,4.0,7.0,2004/5,€175.30m,€71.78m,71.4286,76.9231,73.5294,71.4286,25.0,21.2766,25.0,25.641,11.1111,12.1951,14.2857,16.6667,H,73.3274,2.5936,24.2294,1.9916,13.5646,2.4521,Bundesliga1
