Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
D1,05/08/2005,Bayern Munich,M'gladbach,H,1.3,5.0,9.5,1.35,4.2,8.0,1.35,4.0,7.5,1.33,4.0,8.0,1.33,4.0,8.0,2005/6,€177.88m,€49.90m,1.35,4.0,8.0,1.335,0.018027756377319962,2.58483039203093,0.013503937361288361,0.006866416978776574,0.16669785746754337,4.2,0.3651483716701107,2.5797456519625275,0.0869400884928835,0.037037037037036896,0.167635191438972,8.166666666666666,0.6236095644623236,2.580893704425862,0.07636035483212127,0.034013605442176825,0.16746830586602424
D1,06/08/2005,Duisburg,Stuttgart,D,2.75,3.25,2.25,2.85,3.35,2.2,2.7,3.0,2.3,3.0,3.2,2.1,2.87,3.25,2.15,2005/6,€24.18m,€69.80m,2.7,3.25,2.25,2.811666666666666,0.10730279068546576,2.5839184575138305,0.038163411032175146,0.020845682671408655,0.166900624388151,3.216666666666667,0.1067187372905475,2.5841587599682607,0.03317680952037746,0.016407599309153836,0.16686440957976117,2.208333333333333,0.06718548123582119,2.584292564253458,0.030423614144522805,0.016981132075471722,0.1668241710402602
D1,06/08/2005,FC Koln,Mainz,H,2.1,3.25,3.0,1.95,3.3,3.5,1.9,3.1,3.5,2.0,3.2,3.2,1.95,3.25,3.3,2005/6,€43.63m,€37.75m,1.85,3.3,3.6,1.9583333333333333,0.07861650943380506,2.5838069522561264,0.040144600561943015,0.021985815602836883,0.1669263443345668,3.233333333333333,0.06871842709362758,2.5846344641123826,0.021253121781534306,0.011168384879724963,0.16674509420303363,3.35,0.20615528128088303,2.5822017655811407,0.06153888993459195,0.03399668325041452,0.16734030599357327
D1,06/08/2005,Hamburg,Nurnberg,H,1.57,3.4,5.5,1.55,3.7,5.35,1.55,3.5,4.8,1.53,3.4,5.5,1.57,3.5,5.0,2005/6,€106.90m,€52.13m,1.55,3.5,5.0,1.5533333333333335,0.013743685418725546,2.584905990645195,0.008847866149394128,0.004649499284692299,0.16667977025680547,3.5,0.10000000000000009,2.5843790199874768,0.0285714285714286,0.014285714285714374,0.16679557700836742,5.191666666666666,0.27144162458170557,2.582986037543225,0.05228410104302515,0.02862493311931505,0.1671283611143277
D1,06/08/2005,Hannover,Hertha,D,2.4,3.2,2.6,2.5,3.15,2.6,2.5,3.0,2.5,2.5,3.25,2.4,2.4,3.25,2.5,2005/6,€45.35m,€72.70m,2.4,3.2,2.5,2.45,0.050000000000000044,2.5846620435776733,0.020408163265306138,0.010204081632652878,0.16673608218797725,3.1750000000000003,0.08539125638299667,2.584434886677824,0.02689488390015643,0.013560804899387519,0.16679562808104717,2.5166666666666666,0.06871842709362774,2.5844234175121725,0.027305335268991156,0.014348785871964559,0.16679279801092656
D1,06/08/2005,Werder Bremen,Bielefeld,H,1.44,3.75,6.5,1.4,4.0,7.2,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,7.0,2005/6,€111.60m,€32.85m,1.45,3.75,6.0,1.415,0.0214087209644419,2.584798001799164,0.01512983813741477,0.007263447192775635,0.16670395323403092,3.8166666666666664,0.09860132971832691,2.5844849500816416,0.02583440953318609,0.012372634643376929,0.16677260949473582,6.616666666666667,0.4844813951249545,2.581068240477937,0.07322136954029539,0.039882451721242745,0.16759613049248456
D1,06/08/2005,Wolfsburg,Dortmund,D,2.37,3.2,2.62,2.5,3.35,2.5,2.4,3.0,2.6,2.37,3.2,2.6,2.3,3.2,2.62,2005/6,€61.38m,€78.53m,2.4,3.2,2.5,2.39,0.05944184833375672,2.5845178939511433,0.024871066248433774,0.013017201301720155,0.1667677120194785,3.1916666666666664,0.10172129679778089,2.5842256171803575,0.031870902390949626,0.015230635335073878,0.1668423126470785,2.5733333333333333,0.05249338582674545,2.584661015304697,0.020398984129564295,0.01036269430051831,0.16673784892619412
D1,07/08/2005,Ein Frankfurt,Leverkusen,A,2.75,3.25,2.25,2.7,3.35,2.3,2.7,3.0,2.3,2.75,3.2,2.25,2.62,3.2,2.3,2005/6,€39.95m,€81.23m,2.6,3.25,2.3,2.686666666666666,0.058214163988576574,2.584622892780901,0.0216678029734156,0.011786600496277805,0.16674622438199646,3.2083333333333335,0.10573814617041269,2.584171188333223,0.03295734426090785,0.01688311688311686,0.16685916873318815,2.283333333333333,0.0235702260395515,2.584885445792056,0.010322726732650292,0.004866180048661711,0.16668468858131485
D1,07/08/2005,Schalke 04,Kaiserslautern,H,1.5,3.5,6.0,1.5,3.8,5.8,1.5,3.7,5.0,1.5,3.4,6.0,1.44,3.75,6.0,2005/6,€87.18m,€37.38m,1.55,3.5,5.0,1.498333333333333,0.03184162195757136,2.584635929182158,0.021251360594597132,0.010196514645902793,0.16674314718161093,3.608333333333333,0.14837078178970714,2.583741604004406,0.041118923359734084,0.022709776751347027,0.16695010239178096,5.633333333333333,0.4533823502911814,2.5802024424821695,0.08048207401618605,0.040433925049309455,0.16786771573219192
D1,13/08/2005,Bielefeld,Hamburg,A,3.0,3.25,2.1,3.15,3.4,2.05,2.9,3.0,2.2,2.8,3.2,2.2,2.9,3.2,2.15,2005/6,€32.85m,€106.90m,2.7,3.25,2.25,2.9083333333333337,0.1426436897385307,2.583233177201465,0.04904654088430854,0.027220630372492588,0.16706068750854636,3.216666666666667,0.11785113019775789,2.583988838731207,0.03663765705629779,0.01899827288428338,0.16689872623717927,2.158333333333333,0.06718548123582133,2.5842611055508127,0.031128408294589033,0.017374517374517146,0.16683164109701065
D1,13/08/2005,Dortmund,Schalke 04,A,2.5,3.0,2.62,2.4,3.25,2.65,2.4,3.0,2.6,2.38,3.2,2.6,2.5,2.9,2.62,2005/6,€78.53m,€87.18m,2.4,3.1,2.6,2.43,0.050000000000000044,2.5846584070454095,0.020576131687242816,0.010288065843621436,0.16673541623550506,3.0749999999999997,0.12162099599438693,2.583835140799537,0.03955154341280876,0.022131887985546245,0.1669260552843154,2.6149999999999998,0.01802775637731989,2.58492829052309,0.006893979494194987,0.0035054174633525614,0.1666744870932772
D1,13/08/2005,Hertha,Ein Frankfurt,H,1.44,3.75,6.5,1.35,4.5,7.2,1.4,3.9,6.0,1.4,3.75,7.0,1.44,3.75,6.0,2005/6,€72.70m,€39.95m,1.4,3.75,7.5,1.4050000000000002,0.030413812651491057,2.584623253760429,0.02164684174483349,0.01126927639383149,0.16674654218865317,3.9,0.27386127875258304,2.5815319014430407,0.07022084070579053,0.029914529914529725,0.1673290782363537,6.7,0.5773502691896258,2.5795925061116227,0.08617168196860087,0.04809286898839141,0.16792178198583158
D1,13/08/2005,Kaiserslautern,Duisburg,H,1.72,3.25,4.33,1.7,3.5,4.4,1.75,3.2,4.0,1.67,3.4,4.33,1.8,3.3,3.75,2005/6,€37.38m,€24.18m,1.75,3.4,4.0,1.7316666666666665,0.04139914116124744,2.5845506219879524,0.023907107504088997,0.013314084055181225,0.1667614271151673,3.3416666666666663,0.1017212967977808,2.584294642612772,0.0304402883185379,0.01704073150457211,0.16682040779034618,4.135000000000001,0.2348581131946124,2.5826171145144827,0.05679760899506949,0.030699986564557108,0.1672306011199517
