Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
T1,05/08/2005,Genclerbirligi,Fenerbahce,0.0,0.0,D,0.0,0.0,5.0,3.6,1.57,5.0,3.5,1.6,3.6,3.1,1.85,4.33,3.5,1.67,4.33,3.4,1.66,2005/6,€25.68m,€73.00m,4.0,3.4,1.75,4.376666666666666,0.5044028372464039,2.575324780784736,0.11524817301898034,0.06346788525006355,0.1689807457507491,3.4166666666666665,0.15723301886761004,2.5834085382123386,0.04601942015637367,0.023577235772357735,0.16705880244239615,1.6833333333333333,0.09374907406950156,2.5827468746976767,0.055692519249208844,0.030693069306930415,0.16715531144871654,A
T1,12/08/2005,Ankaragucu,Galatasaray,0.0,1.0,A,0.0,0.0,5.0,3.6,1.53,7.0,3.9,1.4,4.8,3.5,1.55,4.33,3.4,1.67,5.5,3.5,1.53,2005/6,€27.16m,€64.95m,4.5,3.5,1.6,5.1883333333333335,0.8921961045021933,2.564781191646914,0.1719619860910106,0.08860691722882544,0.17028071035705805,3.5666666666666664,0.15986105077709065,2.583539696825054,0.0448208553580628,0.021806853582554325,0.16696719914189165,1.5466666666666666,0.08178562764256866,2.582930674999449,0.0528786385620056,0.0283764367816092,0.1671564332819293,A
T1,13/08/2005,Fenerbahce,Diyarbakirspor,2.0,2.0,D,0.0,1.0,1.14,6.0,12.0,1.08,7.5,19.0,1.2,5.0,10.0,1.2,5.0,11.0,1.14,6.0,12.0,2005/6,€73.00m,€21.98m,1.14,6.5,10.0,1.15,0.041231056256176575,2.5840322936596754,0.035853092396675286,0.018840579710144884,0.16688537257741146,6.0,0.8660254037844386,2.5701092072059657,0.14433756729740643,0.07870370370370364,0.1699578293477437,12.333333333333334,3.091206165165235,2.544020494338499,0.2506383377161001,0.11711711711711717,0.17257566520328477,H
T1,13/08/2005,Gaziantepspor,Sivasspor,0.0,0.0,D,0.0,0.0,1.61,3.5,4.5,1.55,3.5,5.5,1.6,3.4,4.6,1.67,3.5,4.33,1.7,3.4,4.1,2005/6,€32.20m,€21.15m,1.55,3.5,5.0,1.6133333333333335,0.056174331821175684,2.5840907639481268,0.03481880071560476,0.01928374655647383,0.1668649277742138,3.466666666666667,0.04714045207910321,2.584828681711677,0.01359820733051054,0.006410256410256748,0.16669808653030446,4.671666666666667,0.4604496594513769,2.578077153108969,0.09856218183047667,0.05416815316922344,0.1681348124478122,H
T1,13/08/2005,Malatyaspor,Manisaspor,0.0,5.0,A,0.0,0.0,1.66,3.3,4.5,1.65,3.5,4.5,1.7,3.2,4.2,1.73,3.4,4.0,1.7,3.4,4.2,2005/6,€25.08m,€22.87m,1.6,3.5,4.5,1.6733333333333336,0.042295258468165044,2.5844999206797574,0.025276050877389464,0.013944223107569848,0.1667756287688318,3.383333333333333,0.10671873729054746,2.5842408909290207,0.03154248392824063,0.01724137931034489,0.16683810157211076,4.316666666666666,0.19507833184532705,2.5834802748934402,0.045191891547180014,0.02380952380952364,0.16701974821632942,H
T1,13/08/2005,Rizespor,Samsunspor,1.0,2.0,A,0.0,1.0,1.9,3.2,3.5,1.85,3.25,3.75,1.9,3.1,3.5,2.0,3.2,3.25,1.9,3.2,3.5,2005/6,€17.42m,€25.79m,1.9,3.25,3.4,1.9083333333333334,0.04487637339278752,2.5845667559258056,0.023516003524604815,0.010917030567685476,0.1667546306588344,3.1999999999999997,0.04999999999999997,2.584785451404267,0.015624999999999991,0.007812499999999917,0.16670868986638593,3.483333333333333,0.14907119849998599,2.5836456957232117,0.04279555937798641,0.022328548644338003,0.1669672455954466,H
T1,14/08/2005,Ankaraspor,Genclerbirligi,0.0,0.0,D,0.0,0.0,2.25,3.2,2.75,2.3,3.25,2.7,2.4,3.0,2.6,2.2,3.2,2.8,2.3,3.2,2.65,2005/6,€32.53m,€25.68m,2.3,3.1,2.7,2.2916666666666665,0.060667582410670905,2.5844582428652596,0.02647312687011094,0.013939393939394057,0.1667818684690331,3.158333333333333,0.08374896350934079,2.5844510966741345,0.026516822219316345,0.01363236587510977,0.1667898393643526,2.6999999999999997,0.06454972243679022,2.584550127736714,0.0239073046062186,0.013374485596707647,0.16676209665844768,H
T1,14/08/2005,Besiktas,Denizlispor,2.0,0.0,H,2.0,0.0,1.22,5.0,9.0,1.2,5.5,10.5,1.3,4.2,8.0,1.29,4.5,8.5,1.25,5.0,8.0,2005/6,€69.65m,€29.21m,1.28,4.5,8.0,1.2566666666666666,0.0368178700572909,2.5843411457862318,0.02929803983338798,0.016357206012378583,0.16681275330342984,4.783333333333333,0.4297932319409208,2.579176913965906,0.08985224361134232,0.04936120789779311,0.16796727751098423,8.666666666666666,0.8975274678557508,2.577514870010598,0.10356086167566356,0.05128205128205124,0.16809765418155026,H
T1,14/08/2005,Kayserispor,Erciyesspor,1.0,2.0,A,0.0,0.0,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.0,2.7,2.1,3.2,3.0,2.3,3.1,2.75,2005/6,€23.43m,€22.76m,2.2,3.1,2.9,2.2416666666666663,0.07312470322826756,2.5841862947222296,0.03262068545498925,0.016728624535316122,0.16685640882624647,3.1333333333333333,0.07453559924999306,2.5845522074635854,0.023787957207444595,0.012411347517730459,0.1667639616687629,2.8083333333333336,0.10573814617041262,2.583950148237329,0.03765156540192734,0.01928783382789337,0.1668890900813696,H
T1,14/08/2005,Konyaspor,Trabzonspor,0.0,0.0,D,0.0,0.0,3.5,3.4,1.83,4.0,3.45,1.75,3.8,3.1,1.8,3.5,3.25,1.91,3.25,3.4,1.9,2005/6,€28.52m,€64.14m,3.4,3.25,1.9,3.5749999999999997,0.25124689052802224,2.581435837413603,0.07027885049734889,0.03846153846153824,0.1674431672203431,3.3083333333333336,0.12047360245667466,2.583999930479418,0.03641519469723163,0.019731318219983113,0.16689631349772543,1.8483333333333334,0.05983774357005409,2.5842027036905044,0.032373891922481926,0.017583408476104317,0.1668466518161961,A
