Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
SP1,27/08/2005,Alaves,Barcelona,D,7.0,3.75,1.5,7.0,3.7,1.45,5.4,3.5,1.5,6.5,3.6,1.44,6.0,3.4,1.5,2005/6,€34.83m,€327.50m,6.5,3.75,1.45,6.3999999999999995,0.5627314338711376,2.5792729202020603,0.08792678654236526,0.0477430555555555,0.16812832762290558,3.616666666666667,0.13123346456686358,2.584006907269499,0.03628575057148301,0.01996927803379403,0.16689434186247165,1.4733333333333334,0.02687419249432852,2.584722415686488,0.018240402145471846,0.009426847662141663,0.1667222191231772
SP1,27/08/2005,Valencia,Betis,H,2.0,3.25,3.25,1.75,3.3,4.4,1.9,3.0,3.6,1.91,3.2,3.5,1.95,3.1,3.5,2005/6,€213.55m,€85.95m,1.85,3.25,3.75,1.8933333333333333,0.07888106377466153,2.583699905032849,0.0416625336838001,0.022887323943661914,0.1669715598019966,3.1833333333333336,0.10274023338281624,2.584205177376444,0.03227441886371191,0.017452006980802987,0.16684874735232402,3.6666666666666665,0.36016971308290524,2.5782244531831493,0.09822810356806506,0.04999999999999996,0.16800720166686645
SP1,28/08/2005,Ath Madrid,Zaragoza,D,1.72,3.4,4.0,1.65,3.4,4.9,1.7,3.1,4.4,1.67,3.25,4.5,1.7,3.2,4.5,2005/6,€134.15m,€66.55m,1.65,3.4,4.5,1.6816666666666666,0.02671869923646902,2.5847804257665508,0.015888225512270975,0.008754542451271968,0.16670871174868268,3.2916666666666665,0.11696390706348492,2.584046821024199,0.0355333388547296,0.018987341772151917,0.1668839817574297,4.466666666666667,0.26246692913372716,2.582458349481329,0.058761252791132944,0.02985074626865672,0.16726663496576077
SP1,28/08/2005,Cadiz,Real Madrid,A,7.5,4.0,1.44,8.0,4.25,1.35,5.4,3.5,1.5,6.5,4.0,1.4,6.5,3.6,1.44,2005/6,€22.15m,€281.60m,6.5,3.6,1.45,6.733333333333333,0.8299933065325821,2.5739508440499237,0.12326633265335377,0.06600660066006583,0.1693291213658268,3.8249999999999997,0.2734806513570323,2.5812920947263938,0.07149820950510649,0.03885257806826417,0.16749464163374517,1.43,0.046188021535170036,2.5842070892290434,0.032299315758860164,0.017482517482517418,0.16684486281972297
SP1,28/08/2005,Celta,Malaga,H,2.1,3.25,3.0,2.1,3.1,3.3,2.1,2.9,3.2,2.1,3.2,3.0,2.15,3.1,3.0,2005/6,€48.30m,€28.03m,2.0,3.2,3.25,2.0916666666666663,0.04487637339278752,2.5846278755662446,0.021454839869061767,0.00996015936254993,0.16674710422015546,3.125,0.11456439237389607,2.5839810572439865,0.036660605559646745,0.019111111111111218,0.16690810063534267,3.125,0.12829003598617209,2.583748846892468,0.04105281151557507,0.02177777777777759,0.1669444071436352
SP1,28/08/2005,Espanol,Getafe,A,1.61,3.4,5.0,1.65,3.5,4.75,1.7,3.1,4.4,1.67,3.2,5.0,1.66,3.3,4.5,2005/6,€58.98m,€36.38m,1.6,3.3,5.0,1.6483333333333334,0.034359213546813774,2.5846488548448985,0.020844821160857698,0.011627906976744123,0.16673940113439278,3.2999999999999994,0.12909944487358052,2.583857934750133,0.03912104390108501,0.02188552188552198,0.16692296547018806,4.7749999999999995,0.24790791301072518,2.5830023220664855,0.05191788754151313,0.027632344386270852,0.16713780644276524
SP1,28/08/2005,Mallorca,La Coruna,A,2.7,3.2,2.3,2.65,3.1,2.5,2.3,3.0,2.7,2.6,3.2,2.38,2.37,3.1,2.62,2005/6,€42.15m,€133.80m,2.5,3.1,2.5,2.52,0.14548768561863468,2.5825422647851357,0.05773320857882328,0.03240740740740736,0.16724458534800046,3.1166666666666667,0.06871842709362774,2.584611172538787,0.0220486931851212,0.011586452762923166,0.1667486409715368,2.5,0.13466006584482781,2.582867772501859,0.05386402633793112,0.03022222222222229,0.167153746886189
SP1,28/08/2005,Osasuna,Villarreal,H,2.7,3.2,2.3,2.7,3.15,2.4,2.5,3.0,2.5,2.75,3.2,2.25,2.75,3.2,2.25,2005/6,€40.70m,€82.00m,2.9,3.0,2.25,2.716666666666667,0.11785113019775789,2.5835958661099045,0.04338078412187407,0.02249488752556253,0.1669947214907306,3.125,0.0901387818865998,2.5843587676405315,0.028844410203711934,0.014666666666666744,0.1668102801489032,2.3249999999999997,0.09464847243000456,2.5837807114475373,0.04070902040000197,0.020908004778972394,0.16692452308744343
SP1,28/08/2005,Sevilla,Santander,H,1.66,3.4,4.5,1.65,3.5,4.7,1.6,3.3,4.8,1.67,3.2,5.0,1.57,3.3,5.5,2005/6,€96.85m,€30.35m,1.6,3.3,5.0,1.625,0.036855573979159895,2.5845909463423506,0.02268035321794455,0.012478632478632484,0.16675308069767886,3.3333333333333335,0.09428090415820631,2.5843878897143635,0.02828427124746189,0.015000000000000041,0.16679675244205952,4.916666666666667,0.3131382371342656,2.5820705726572424,0.0636891329764608,0.03446327683615805,0.16730058171739268
SP1,10/09/2005,Betis,Osasuna,H,1.66,3.4,4.5,1.65,3.35,5.0,1.75,3.2,4.0,1.67,3.25,4.5,1.61,3.3,5.0,2005/6,€85.95m,€40.70m,1.65,3.3,4.6,1.665,0.04232808366400097,2.584499971801441,0.025422272470871452,0.012846179512845973,0.16676951233918985,3.3000000000000003,0.06454972243679023,2.5846864671304703,0.019560521950542493,0.010942760942760948,0.16673051186919363,4.6000000000000005,0.34156502553198664,2.5809397777156318,0.07425326641999709,0.03985507246376821,0.16765775258349833
